title,subtype,status,image,epCount,rating,synopsis,genre
Kimi no Na wa.,movie,Finished,https://media.kitsu.io/anime/poster_images/11614/large.jpg?1597698797,1,83.33,"From director Makoto Shinkai, the innovative mind behind Voices of a Distant Star and 5 Centimeters Per Second, comes a beautiful masterpiece about time, the thread of fate, and the hearts of two young souls.

The day the stars fell, two lives changed forever. High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other. Yet, somehow, it works. They build a connection and communicate by leaving notes, messages, and more importantly, an imprint.

When a dazzling comet lights up the night’s sky, it dawns on them. They want something more from this connection—a chance to meet, an opportunity to truly know each other. Tugging at the string of fate, they try to find a way to each other. But distance isn’t the only thing keeping them apart. Is their bond strong enough to face the cruel irony of time? Or is their meeting nothing more than a wish upon the stars?

(Source: FUNimation Films)","['supernatural', 'school', 'drama', 'romance', 'friendship']"
Ansatsu Kyoushitsu,TV,Finished,https://media.kitsu.io/anime/poster_images/8640/large.jpg?1597696746,22,83.22,"When a mysterious creature chops the moon down to a permanent crescent, the students of class 3-E of Kunugigaoka Middle School find themselves confronted with an enormous task: assassinate the creature responsible for the disaster before Earth suffers a similar fate. However, the monster, dubbed Koro-sensei (the indestructible teacher), is able to fly at speeds of up to Mach 20, which he demonstrates freely, leaving any attempt to subdue him in his extraterrestrial dust. Furthermore, the misfits of 3-E soon find that the strange, tentacled beast is more than just indomitable—he is the best teacher they have ever had!

Adapted from the humorous hit manga by Yuusei Matsui, Ansatsu Kyoushitsu tells the story of these junior high pupils as they polish their assassination skills and grow in order to stand strong against the oppressive school system, their own life problems, and one day, Koro-sensei.

(Source: MAL Rewrite)","['comedy', 'school', 'action']"
Naruto: Shippuuden,TV,Finished,https://media.kitsu.io/anime/poster_images/1555/large.jpg?1597696875,500,83.19,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.

Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.

(Source: MAL Rewrite)","['comedy', 'martial-arts', 'super-power', 'action', 'adventure']"
Attack on Titan: Roar of Awakening,movie,Finished,https://media.kitsu.io/anime/poster_images/41487/large.jpg?1597692105,1,83.16,"Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.

(Source: MAL Rewrite)","['super-power', 'fantasy', 'drama', 'action']"
Attack on Titan: Wings of Freedom,movie,Finished,https://media.kitsu.io/anime/poster_images/8673/large.jpg?1597692142,1,83.12,Recap of episodes 14-25. ,"['super-power', 'fantasy', 'drama', 'action']"
Haikyuu!!,TV,Finished,https://media.kitsu.io/anime/poster_images/8133/large.jpg?1597696740,25,83.02,"Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a tournament; however, their first match turns out to be their last when they are brutally squashed by the ""King of the Court,"" Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, Kageyama, is now his teammate.

Thanks to his short height, Hinata struggles to find his role on the team, even with his superior jumping power. Surprisingly, Kageyama has his own problems that only Hinata can help with, and learning to work together appears to be the only way for the team to be successful. Based on Haruichi Furudate's popular shounen manga of the same name, Haikyuu!! is an exhilarating and emotional sports comedy following two determined athletes as they attempt to patch a heated rivalry in order to make their high school volleyball team the best in Japan.

(Source: MAL)","['comedy', 'sports', 'school', 'drama']"
Haikyuu!! Second Season,TV,Finished,https://media.kitsu.io/anime/poster_images/10076/large.jpg?1597697924,25,82.96,"Following their participation at the Inter-High, the Karasuno High School volleyball team attempts to refocus their efforts, aiming to conquer the Spring tournament instead. 

When they receive an invitation from long-standing rival Nekoma High, Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan, they hope not only to sharpen their skills, but also come up with new attacks that would strengthen them. Moreover, Hinata and Kageyama attempt to devise a more powerful weapon, one that could possibly break the sturdiest of blocks. 

Facing what may be their last chance at victory before the senior players graduate, the members of Karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival Aoba Jousai and its world-class setter Tooru Oikawa.

(Source: MAL)","['comedy', 'sports', 'school', 'drama']"
One Piece,TV,Ongoing,https://media.kitsu.io/anime/poster_images/12/large.jpg?1597699104,,82.93,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.
Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy’s reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.
[Written by MAL Rewrite]","['action', 'adventure', 'comedy', 'fantasy', 'super-power', 'drama', 'friendship']"
Fullmetal Alchemist: Brotherhood,TV,Finished,https://media.kitsu.io/anime/poster_images/3936/large.jpg?1597690778,64,82.87,"""In order for something to be obtained, something of equal value must be lost.""

Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.

Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.

(Source: MAL Rewrite)","['comedy', 'magic', 'military', 'fantasy', 'drama', 'action', 'adventure']"
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,Finished,https://media.kitsu.io/anime/poster_images/11935/large.jpg?1597697766,10,82.82,The third season of Haikyuu!!,"['comedy', 'sports', 'school', 'drama']"
Nanatsu no Taizai,TV,Finished,https://media.kitsu.io/anime/poster_images/8699/large.jpg?1597699053,24,82.79,"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones.

Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world.

(Source: MAL Rewrite)","['magic', 'supernatural', 'fantasy', 'action', 'ecchi', 'adventure']"
Haikyuu!!: To the Top 2nd Season,TV,Finished,https://media.kitsu.io/anime/poster_images/42938/large.jpg?1601201145,12,82.62,Second cour of Haikyuu!! TO THE TOP.,['sports']
Shingeki no Kyojin: Chronicle,movie,Finished,https://media.kitsu.io/anime/poster_images/43212/large.jpg?1590852981,1,82.62,The compilation film will recap the anime's 59 episodes from seasons one to three.,['none']
Nanatsu no Taizai: Imashime no Fukkatsu,TV,Finished,https://media.kitsu.io/anime/poster_images/12633/large.jpg?1597698580,24,82.6,The new season in the Nanatsu no Taizai series.,"['magic', 'supernatural', 'super-power', 'fantasy', 'action', 'ecchi', 'adventure']"
Tokyo Revengers,TV,Ongoing,https://media.kitsu.io/anime/poster_images/43321/large.jpg?1618109866,,82.57,"Takemichi Hanagaki is a freelancer that's reached the absolute pits of despair in his life. He finds out that the only girlfriend he ever had, in middle school, Hinata Tachibana, had been killed by the ruthless Tokyo Manji Gang. The day after hearing about her death, he's standing on the station platform and ends up being pushed over onto the tracks by a herd of people. He closes his eyes thinking he's about to die, but when he opens his eyes back up, he somehow had gone back in time 12 years. Now that he's back living the best days of his life, Takemichi decides to get revenge on his life

(Source: Crunchyroll)",['none']
Spirited Away,movie,Finished,https://media.kitsu.io/anime/poster_images/176/large.jpg?1597698146,1,82.56,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.
Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.
[Written by MAL Rewrite]","['supernatural', 'drama', 'adventure']"
Hunter x Hunter,TV,Finished,https://media.kitsu.io/anime/poster_images/115/large.jpg?1597698474,62,82.54,"Hunters are specialized in a wide variety of fields, ranging from treasure hunting to cooking. They have access to otherwise unavailable funds and information that allow them to pursue their dreams and interests. However, being a hunter is a special privilege, only attained by taking a deadly exam with an extremely low success rate.
Gon Freecss, a 12-year-old boy with the hope of finding his missing father, sets out on a quest to take the Hunter Exam. Along the way, he picks up three companions who also aim to take the dangerous test: the revenge-seeking Kurapika, aspiring doctor Leorio Paladiknight, and a mischievous child the same age as Gon, Killua Zoldyck.Hunter x Hunter is a classic shounen that follows the story of four aspiring hunters as they embark on a perilous adventure, fighting for their dreams while defying the odds.
[Written by MAL Rewrite]","['super-power', 'fantasy', 'action', 'adventure']"
Haikyuu!!: To the Top,TV,Finished,https://media.kitsu.io/anime/poster_images/42059/large.jpg?1578675739,13,82.34,"The fourth season of Haikyuu!!
",['none']
Haikyuu!! Movie 4: Concept no Tatakai,movie,Finished,https://media.kitsu.io/anime/poster_images/13656/large.jpg?1597696748,1,82.23,"The finals of the Miyagi prelims for the Spring Tournament... After defeating Aoba Johsai, Karasuno head toward their next match to qualify for the Spring Tournament. Their opponent is the undefeated champion Shiratorizawa, led by the high school prodigy, Wakatoshi Ushijima. From the beginning of the match, Karasuno gets beat down by Ushijima’s ferocious spikes. Even though they try to turn the tables, they are also shut down due to Tendo’s precise blocks. Is this a wall they will not be able to get over? The one who holds the key to turning the tables is the master of blocking, Tsukishima. Hinata and Kageyama manage to increase their intensity due to his calm and precise defense. Despite both teams have completely different play concepts, their intensity is the same. Who will be the ones who will laugh after this desperate struggle?

(Source: CR)","['comedy', 'sports', 'school', 'drama']"
Boku dake ga Inai Machi,TV,Finished,https://media.kitsu.io/anime/poster_images/11110/large.jpg?1597698780,12,82.22,"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.
However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.
[Written by MAL Rewrite]","['mystery', 'supernatural', 'psychological']"
Shigatsu wa Kimi no Uso,TV,Finished,https://media.kitsu.io/anime/poster_images/8403/large.jpg?1597694834,22,82.22,"Music accompanies the path of the human metronome, the prodigious pianist Kousei Arima. But after the passing of his mother, Saki Arima, Kousei falls into a downward spiral, rendering him unable to hear the sound of his own piano.
Two years later, Kousei still avoids the piano, leaving behind his admirers and rivals, and lives a colorless life alongside his friends Tsubaki Sawabe and Ryouta Watari. However, everything changes when he meets a beautiful violinist, Kaori Miyazono, who stirs up his world and sets him on a journey to face music again.
Based on the manga series of the same name, Shigatsu wa Kimi no Uso approaches the story of Kousei's recovery as he discovers that music is more than playing each note perfectly, and a single melody can bring in the fresh spring air of April.
[Written by MAL Rewrite]","['school', 'music', 'drama', 'romance', 'friendship']"
Dr. Stone: Stone Wars,TV,Finished,https://media.kitsu.io/anime/poster_images/42867/large.jpg?1611329475,11,82.21,"Modern society is lost when a mysterious light leaves everyone petrified in stone. Thousands of years in the future, super genius Senku awakens and begins restoring civilization with his Kingdom of Science. Now as he sets down blueprints for a smartphone in the stone world, Tsukasa and his Empire of Might prepare for the upcoming war.

(Source: Anime News Network)",['none']
Haikyuu!! Movie 2: Shousha to Haisha,movie,Finished,https://media.kitsu.io/anime/poster_images/10847/large.jpg?1597696747,1,82.21,Second Haikyuu!! recap movie.,"['comedy', 'sports', 'school', 'drama']"
Dr. Stone,TV,Finished,https://media.kitsu.io/anime/poster_images/42080/large.jpg?1597698791,24,82.21,"Several thousand years after a mysterious phenomenon that turns all of humanity to stone, the extraordinarily intelligent, science-driven boy, Senku Ishigami, awakens.

Facing a world of stone and the total collapse of civilization, Senku makes up his mind to use science to rebuild the world. Starting with his super strong childhood friend Taiju Oki, who awakened at the same time, they will begin to rebuild civilization from nothing...

Depicting two million years of scientific history from the Stone Age to present day, the unprecedented crafting adventure story is about to begin!

(Source: Crunchyroll)",['none']
Howl's Moving Castle,movie,Finished,https://media.kitsu.io/anime/poster_images/395/large.jpg?1597698759,1,82.21,"That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer—or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop. 
However, Sophie's simple life takes a turn for the exciting when she is ensnared in a disturbing situation, and the mysterious wizard appears to rescue her. Unfortunately, this encounter, brief as it may be, spurs the vain and vengeful Witch of the Waste—in a fit of jealousy caused by a past discord with Howl—to put a curse on the maiden, turning her into an old woman.
In an endeavor to return to normal, Sophie must accompany Howl and a myriad of eccentric companions—ranging from a powerful fire demon to a hopping scarecrow—in his living castle, on a dangerous adventure as a raging war tears their kingdom apart.
[Written by MAL Rewrite]","['fantasy', 'drama', 'romance', 'adventure']"
Mob Psycho 100,TV,Finished,https://media.kitsu.io/anime/poster_images/11578/large.jpg?1597698554,12,82.2,"Kageyama Shigeo, a.k.a. ""Mob,"" is a boy who has trouble expressing himself, but who happens to be a powerful esper. Mob is determined to live a normal life and keeps his ESP suppressed, but when his emotions surge to a level of 100%, something terrible happens to him! As he's surrounded by false espers, evil spirits, and mysterious organizations, what will Mob think? What choices will he make?

(Source: Crunchyroll)","['comedy', 'supernatural', 'slice-of-life', 'action']"
Saiki Kusuo no Ψ-nan,TV,Finished,https://media.kitsu.io/anime/poster_images/12127/large.jpg?1597696755,120,82.2,"To the average person, psychic abilities might seem a blessing; for Kusuo Saiki, however, this couldn't be further from the truth. Gifted with a wide assortment of supernatural abilities ranging from telepathy to x-ray vision, he finds this so-called blessing to be nothing but a curse. As all the inconveniences his powers cause constantly pile up, all Kusuo aims for is an ordinary, hassle-free life—a life where ignorance is bliss.
Unfortunately, the life of a psychic is far from quiet. Though Kusuo tries to stay out of the spotlight by keeping his powers a secret from his classmates, he ends up inadvertently attracting the attention of many odd characters, such as the empty-headed Riki Nendou and the delusional Shun Kaidou. Forced to deal with the craziness of the people around him, Kusuo comes to learn that the ordinary life he has been striving for is a lot more difficult to achieve than expected.

Note: Originally aired as 120 5min episodes that were later compiled into 24 normal lenght episodes","['comedy', 'supernatural', 'school', 'slice-of-life']"
Steins;Gate,TV,Finished,https://media.kitsu.io/anime/poster_images/5646/large.jpg?1597694832,24,82.2,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.

Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.

Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.

(Source: MAL Rewrite)","['sci-fi', 'thriller']"
